epoch,train_loss,train_acc,val_loss,val_acc
1,4.007290005683899,0.20185185074806214,4.725682735443115,0.0
2,1.798886501789093,0.93125,4.778470039367676,0.0
3,0.8058984100818634,1.0,4.920350790023804,0.0
4,0.36577857136726377,1.0,4.942357778549194,0.0
5,0.18775060623884202,1.0,4.980122327804565,0.0
6,0.11294360682368279,1.0,4.997014284133911,0.0
7,0.07990664839744568,1.0,5.001248598098755,0.0
8,0.06273174770176411,1.0,5.006129026412964,0.0
9,0.05230370610952377,1.0,5.008339166641235,0.0
10,0.04499388001859188,1.0,5.013385057449341,0.0
