rank,ResNet18,MobileNetV3Large,Fusion_ResNet18_MobileNetV3Large
1,0.11124510099487489,0.11245100994874888,0.139282484172445
2,0.14350316551100392,0.15345191438046427,0.1784745251733494
3,0.1652095266807356,0.18269520651190835,0.20470304492010855
4,0.18299668375037684,0.20470304492010855,0.2261079288513717
5,0.19505577328911666,0.2221887247512813,0.24570394935182394
6,0.2071148628278565,0.23756406391317456,0.26409406089840215
7,0.21525474826650587,0.25384383479047334,0.2776605366294845
8,0.23032861018993067,0.2646970153753392,0.29062405788362977
9,0.2417847452517335,0.27856496834489,0.3047934880916491
10,0.25203497135966235,0.29424178474525176,0.31594814591498344
11,0.2613807657521857,0.30810973771480255,0.3268013264998493
12,0.27193246909858304,0.3183599638227314,0.3376545070847151
13,0.2836900813988544,0.3310220078384082,0.34669882423876996
14,0.29062405788362977,0.33946337051552605,0.3578534820621043
15,0.2972565571299367,0.3518239372927344,0.3656918902622852
16,0.3026831474223696,0.3656918902622852,0.37383177570093457
17,0.309617123907145,0.3768465480856195,0.37986132047030446
18,0.3171540548688574,0.3855893880012059,0.3880012059089539
19,0.3261983720229123,0.39764847753994575,0.3985529092553512
20,0.3316249623153452,0.4075972264094061,0.4063913174555321
21,0.3382574615616521,0.414229725655713,0.4151341573711185
22,0.34398552909255353,0.4208622249020199,0.4232740428097679
23,0.35001507386192343,0.42900211034066926,0.43231835996382273
24,0.35634609586976185,0.43684051854085015,0.43744347301778713
25,0.3635815495930057,0.44558335845643654,0.4443774495025626
26,0.36840518540850165,0.45100994874886946,0.45070847151040094
27,0.37443473017787154,0.45884835694905035,0.45764244799517634
28,0.381971661139584,0.46608381067229426,0.4636719927645463
29,0.3849864335242689,0.47120892372625867,0.47030449201085317
30,0.3910159782936388,0.47965028640337654,0.47814290021103406
31,0.3952366596321978,0.48567983117274643,0.485378353934278
32,0.4012662044015677,0.49231233041905337,0.4899005125113054
33,0.40970756707868555,0.4965330117576123,0.4977389207114863
34,0.41483268013265,0.5013566475731083,0.5046728971962616
35,0.4205607476635514,0.5052758516731987,0.5110039192041
36,0.4265902924329213,0.5116068736810371,0.516430509496533
37,0.4329213144407597,0.5185408501658125,0.5203497135966234
38,0.43804642749472417,0.5242689176967139,0.5266807356044618
39,0.4434730177871571,0.5290925535122099,0.5321073258968948
40,0.4485981308411215,0.5345191438046427,0.5393427796201387
41,0.45161290322580644,0.5396442568586072,0.5432619837202292
42,0.45764244799517634,0.5438649381971661,0.5480856195357251
43,0.46397347000301475,0.550497437443473,0.553512209828158
44,0.4681941513415737,0.5556225504974375,0.5568284594513114
45,0.47211335544166416,0.5619535725052759,0.5628580042206813
46,0.4751281278263491,0.5646668676514923,0.5661742538438348
47,0.47965028640337654,0.5703949351823937,0.5703949351823937
48,0.48296653602653,0.5737111848055472,0.5761230027132952
49,0.4874886946035574,0.5773289116671692,0.5797407295749171
50,0.49231233041905337,0.580946638528791,0.5836599336750076
51,0.49894482966536025,0.584564365390413,0.5866747060596925
52,0.5040699427193247,0.5896894784443775,0.5914983418751885
53,0.5070847151040097,0.5963219776906844,0.5963219776906844
54,0.512812782634911,0.6017485679831173,0.6029544769369912
55,0.5185408501658125,0.6062707265601447,0.6077781127524872
56,0.5236659632197769,0.6113958396141091,0.6107928851371721
57,0.5281881217968043,0.6159179981911366,0.6147120892372626
58,0.5315043714199578,0.6219475429605065,0.6207416340066325
59,0.5366294844739222,0.6264697015375339,0.6243593608682545
60,0.5426590292432921,0.6321977690684353,0.6315948145914984
61,0.5465782333433826,0.6367199276454628,0.6364184504069943
62,0.550497437443473,0.6433524268917696,0.6397347000301478
63,0.5532107325896894,0.6463671992764546,0.6445583358456437
64,0.55712993668978,0.650889357853482,0.6493819716611395
65,0.5601447090744649,0.6548085619535725,0.6523967440458246
66,0.5649683448899608,0.6587277660536629,0.656315948145915
67,0.5694905034669883,0.6638528791076274,0.6611395839614109
68,0.5752185709978896,0.6671691287307808,0.6647573108230329
69,0.5800422068133856,0.6713898100693397,0.6674706059692493
70,0.5830569791980705,0.6750075369309617,0.6728971962616822
71,0.5884835694905035,0.6795296955079891,0.6768164003617727
72,0.5914983418751885,0.6849562858004221,0.6819415134157372
73,0.5942116370214049,0.6876695809466385,0.6870666264697015
74,0.5996382273138378,0.6946035574314139,0.6906843533313235
75,0.6020500452215858,0.6988242387699729,0.6952065119083509
76,0.6077781127524872,0.7012360566777208,0.6994271932469098
77,0.6101899306602352,0.7060596924932168,0.7030449201085318
78,0.6156165209526681,0.7114862827856497,0.7054567380162797
79,0.620440156768164,0.7154054868857401,0.7090744648779017
80,0.623454929152849,0.719626168224299,0.7108833283087127
81,0.6279770877298764,0.723846849562858,0.7148025324088031
82,0.6346095869761833,0.7259571902321375,0.7193246909858305
83,0.6370214048839312,0.7292734398552909,0.72143503165511
84,0.6415435634609586,0.7343985529092554,0.7247512812782635
85,0.6457642447995177,0.7377148025324088,0.7277660536629484
86,0.6487790171842026,0.7398251432016882,0.7313837805245704
87,0.6542056074766355,0.7437443473017787,0.7337955984323183
88,0.6575218570997889,0.7479650286403376,0.7368103708170033
89,0.6596321977690685,0.7488694603557431,0.7395236659632197
90,0.6626469701537534,0.7539945734097075,0.7425384383479048
91,0.6659632197769069,0.757913777509798,0.7455532107325897
92,0.6710883328308712,0.7618329816098884,0.7494724148326801
93,0.6728971962616822,0.7645462767561049,0.7506783237865541
94,0.6771178776002412,0.7690684353331323,0.7548990051251131
95,0.6804341272233946,0.7720832077178174,0.7588182092252035
