model,auc,eer,rank1,rank5,rank10,rank20
ResNet18,0.6860238333333333,0.3795,0.11124510099487489,0.19505577328911666,0.25203497135966235,0.3316249623153452
MobileNetV3Large,0.7418392222222222,0.3275,0.11245100994874888,0.2221887247512813,0.29424178474525176,0.4075972264094061
Fusion_ResNet18_MobileNetV3Large,0.7422244444444445,0.3298333333333333,0.139282484172445,0.24570394935182394,0.31594814591498344,0.4063913174555321
