epoch,train_loss,train_acc,val_loss,val_acc
1,4.007192373275757,0.20185185074806214,4.726821184158325,0.0
2,1.7992147088050843,0.93125,4.78229022026062,0.0
3,0.806626707315445,1.0,4.9176506996154785,0.0
4,0.36593662202358246,1.0,4.947484254837036,0.0
5,0.1878533735871315,1.0,4.979140758514404,0.0
6,0.11298692971467972,1.0,4.996666431427002,0.0
7,0.07991354539990425,1.0,5.001685619354248,0.0
8,0.0627866055816412,1.0,5.005215644836426,0.0
9,0.052335914224386215,1.0,5.0099475383758545,0.0
10,0.045020224526524544,1.0,5.014053821563721,0.0
