epoch,train_loss,train_acc,val_loss,val_acc
1,4.847571522581811,0.11540032689477883,5.766431172688802,0.0
2,2.781606833140055,0.7531658504523483,5.847409963607788,0.0
3,1.4056616390452665,0.9624183014327404,5.909392197926839,0.0
4,0.6224378423363555,0.9966299019607843,5.960400263468425,0.0
5,0.27720822481548085,1.0,5.987356662750244,0.0
6,0.143939168575932,1.0,6.010657548904419,0.0
7,0.09413042708354838,1.0,6.023155848185222,0.0
8,0.06831603570311677,1.0,6.03283445040385,0.0
9,0.05231044236935821,1.0,6.028296152750651,0.0
10,0.04243554803086262,1.0,6.046356757481893,0.0
