epoch,train_loss,train_acc,val_loss,val_acc
1,4.736831253225153,0.11245982574694084,5.354495525360107,0.0
2,3.0141109336506235,0.4843606515364213,5.4457889795303345,0.0
3,1.9339286016695427,0.822644054889679,5.512604236602783,0.0
4,1.1266405564365964,0.9815340909090909,5.570076107978821,0.0
5,0.5667781902082039,0.9995265151515151,5.596445798873901,0.0
6,0.2803198862256426,1.0,5.611569404602051,0.0
7,0.16282198600696796,1.0,5.641691446304321,0.0
8,0.11056872886238676,1.0,5.668535113334656,0.0
9,0.07783381302248348,1.0,5.6717846393585205,0.0
10,0.06133043585401593,1.0,5.675926923751831,0.0
