epoch,train_loss,train_acc,val_loss,val_acc
1,5.423950672149658,0.0975000003973643,6.269768953323364,0.0
2,3.590230549706353,0.49275463024775185,6.111754477024078,0.0
3,2.3984094990624323,0.8063194460339016,6.234364628791809,0.0
4,1.4832620700200398,0.9707407421535916,6.216785967350006,0.0
5,0.8199305309189691,0.9982638888888888,6.236105024814606,0.0
6,0.4098756300078498,1.0,6.274201691150665,0.0
7,0.22333859105904896,1.0,6.299702942371368,0.0
8,0.1478934284713533,1.0,6.307662546634674,0.0
9,0.10774796224302716,1.0,6.322064697742462,0.0
10,0.08100399192836549,1.0,6.313905775547028,0.0
