epoch,train_loss,train_acc,val_loss,val_acc
1,4.77681926091512,0.13541666666666666,5.382440567016602,0.0
2,2.665246057510376,0.84375,5.421915531158447,0.0
3,1.660822319984436,0.9802083333333333,5.536614179611206,0.0
4,1.0946540673573812,0.9822916666666667,5.59415602684021,0.0
5,0.7215181748072307,1.0,5.591706991195679,0.0
6,0.5016375641028087,1.0,5.629371881484985,0.0
7,0.3837871273358663,1.0,5.647803068161011,0.0
8,0.30937986969947817,1.0,5.660093784332275,0.0
9,0.2756663948297501,1.0,5.650735855102539,0.0
10,0.21300114095211028,1.0,5.668587684631348,0.0
