epoch,train_loss,train_acc,val_loss,val_acc
1,4.437626457214355,0.07544642984867096,4.691660404205322,0.0
2,2.510209321975708,0.8035714387893677,4.61450719833374,0.0
3,1.4990131378173828,0.9763392925262451,4.550554275512695,0.03333333507180214
4,0.8963511943817138,0.996875,4.5615034103393555,0.0
5,0.5763350129127502,1.0,4.628671169281006,0.0
6,0.40086170434951784,1.0,4.682223320007324,0.0
7,0.2622971922159195,1.0,4.7288665771484375,0.0
8,0.17673532664775848,1.0,4.752657890319824,0.0
9,0.13793111890554427,1.0,4.769623279571533,0.0
10,0.1059657722711563,1.0,4.826168537139893,0.0
