epoch,train_loss,train_acc,val_loss,val_acc
1,4.007091236114502,0.20341435074806213,4.7285449504852295,0.0
2,1.799278938770294,0.9296875,4.783185005187988,0.0
3,0.8056150376796722,1.0,4.915576219558716,0.0
4,0.36606571078300476,1.0,4.939698934555054,0.0
5,0.18781067579984664,1.0,4.979897975921631,0.0
6,0.1130113109946251,1.0,4.999510049819946,0.0
7,0.07997172549366952,1.0,5.0043957233428955,0.0
8,0.06279321201145649,1.0,5.009299039840698,0.0
9,0.0522691261023283,1.0,5.013909578323364,0.0
10,0.045016102865338324,1.0,5.016671895980835,0.0
